Subject,Session,Block,Index,Reward,Correct_Side,Choice,Response_Latency,Date,Side,Chosen_Higher_Probability,Trial,log_Response_Latency,Task_Type,NewRunIndex,BlockGlobalIndex
F4,1,V,4,1,1,1,41,25-Apr-2025,1,1,138,3.71357206670431,0,2,4
F4,1,V,4,1,1,1,27,25-Apr-2025,1,1,139,3.29583686600433,0,2,4
F4,1,V,4,0,0,1,180,25-Apr-2025,0,0,140,5.19295685089021,0,2,4
F4,1,V,4,1,1,1,292,25-Apr-2025,0,0,141,5.67675380226828,0,2,4
F4,1,V,4,0,0,1,49,25-Apr-2025,0,0,142,3.89182029811063,0,2,4
F4,1,V,4,0,0,1,599,25-Apr-2025,0,0,143,6.39526159811545,0,2,4
F4,1,V,4,0,0,1,343,25-Apr-2025,0,0,144,5.83773044716594,0,2,4
F4,1,V,4,0,0,1,393,25-Apr-2025,0,0,145,5.97380961186926,0,2,4
F4,1,V,4,0,0,1,73,25-Apr-2025,0,0,146,4.29045944114839,0,2,4
F4,1,V,4,1,0,0,41,25-Apr-2025,0,1,147,3.71357206670431,0,2,4
F4,1,V,4,1,0,0,346,25-Apr-2025,0,1,148,5.84643877505772,0,2,4
F4,1,V,4,0,1,0,327,25-Apr-2025,0,1,149,5.78996017089725,0,2,4
F4,1,V,4,1,0,0,443,25-Apr-2025,0,1,150,6.09356977004514,0,2,4
F4,1,V,4,0,0,1,51,25-Apr-2025,0,0,151,3.93182563272433,0,2,4
F4,1,V,4,0,0,1,276,25-Apr-2025,0,0,152,5.62040086571715,0,2,4
F4,1,V,4,0,0,1,918,25-Apr-2025,0,0,153,6.82219739062049,0,2,4
F4,1,V,4,1,1,1,71,25-Apr-2025,0,0,154,4.26267987704132,0,2,4
F4,1,V,4,0,0,1,75,25-Apr-2025,0,0,155,4.31748811353631,0,2,4
F4,1,V,4,1,0,0,222,25-Apr-2025,0,1,156,5.40267738187228,0,2,4
F4,1,V,4,0,1,0,6,25-Apr-2025,0,1,157,1.79175946922805,0,2,4
F4,1,V,4,1,0,0,51,25-Apr-2025,0,1,158,3.93182563272433,0,2,4
F4,1,V,4,1,0,0,31,25-Apr-2025,0,1,159,3.43398720448515,0,2,4
F11,1,S,10,1,1,1,5,25-Apr-2025,1,1,40,1.6094379124341,0,3,5
F11,1,S,10,1,1,1,38,25-Apr-2025,1,1,41,3.63758615972639,0,3,5
F11,1,S,10,1,1,1,30,25-Apr-2025,1,1,42,3.40119738166216,0,3,5
F11,1,S,10,0,0,1,7,25-Apr-2025,1,1,43,1.94591014905531,0,3,5
F11,1,S,10,0,1,0,93,25-Apr-2025,1,0,44,4.53259949315326,0,3,5
F11,1,S,10,0,1,0,255,25-Apr-2025,1,0,45,5.54126354515843,0,3,5
F11,1,S,10,1,1,1,17,25-Apr-2025,1,1,46,2.83321334405622,0,3,5
F11,1,S,10,1,1,1,41,25-Apr-2025,1,1,47,3.71357206670431,0,3,5
F11,1,S,10,1,1,1,94,25-Apr-2025,1,1,48,4.54329478227,0,3,5
F11,1,S,10,0,0,1,16,25-Apr-2025,1,1,49,2.77258872223978,0,3,5
F11,1,S,10,1,0,0,60,25-Apr-2025,0,1,50,4.0943445622221,0,3,5
F11,1,S,10,0,1,0,292,25-Apr-2025,0,1,51,5.67675380226828,0,3,5
F11,1,S,10,0,0,1,50,25-Apr-2025,0,0,52,3.91202300542815,0,3,5
F11,1,S,10,0,0,1,185,25-Apr-2025,0,0,53,5.22035582507833,0,3,5
F11,1,S,10,1,0,0,33,25-Apr-2025,0,1,54,3.49650756146648,0,3,5
F11,1,S,10,1,0,0,97,25-Apr-2025,0,1,55,4.57471097850338,0,3,5
F11,1,S,10,1,0,0,473,25-Apr-2025,0,1,56,6.15909538849193,0,3,5
F11,1,S,10,1,0,0,94,25-Apr-2025,0,1,57,4.54329478227,0,3,5
F11,1,S,10,1,0,0,116,25-Apr-2025,0,1,58,4.75359019110636,0,3,5
F11,1,S,10,0,1,0,454,25-Apr-2025,0,1,59,6.11809719804135,0,3,5
F11,1,S,10,0,0,1,27,25-Apr-2025,0,0,60,3.29583686600433,0,3,5
F11,1,S,10,1,1,1,134,25-Apr-2025,0,0,61,4.89783979995091,0,3,5
F11,1,S,10,0,0,1,88,25-Apr-2025,0,0,62,4.47733681447821,0,3,5
F11,1,S,10,1,0,0,286,25-Apr-2025,0,1,63,5.65599181081985,0,3,5
F11,1,S,10,1,0,0,287,25-Apr-2025,0,1,64,5.65948221575962,0,3,5
F11,1,S,10,0,0,1,106,25-Apr-2025,0,0,65,4.66343909411207,0,3,5
F11,1,S,10,1,0,0,43,25-Apr-2025,0,1,66,3.76120011569356,0,3,5
F11,1,S,10,1,0,0,66,25-Apr-2025,0,1,67,4.18965474202643,0,3,5
F11,1,S,10,0,1,0,9,25-Apr-2025,0,1,68,2.19722457733622,0,3,5
F11,1,S,10,0,0,1,184,25-Apr-2025,0,0,69,5.21493575760899,0,3,5
F11,1,S,10,1,0,0,86,25-Apr-2025,0,1,70,4.45434729625351,0,3,5
F11,1,S,10,0,1,0,82,25-Apr-2025,0,1,71,4.40671924726425,0,3,5
F11,1,S,10,0,0,1,69,25-Apr-2025,0,0,72,4.23410650459726,0,3,5
F11,1,S,10,0,0,1,392,25-Apr-2025,0,0,73,5.97126183979046,0,3,5
F11,1,S,10,0,0,1,134,25-Apr-2025,0,0,74,4.89783979995091,0,3,5
F11,1,S,10,1,0,0,220,25-Apr-2025,0,1,75,5.39362754635236,0,3,5
F11,1,S,10,1,0,0,952,25-Apr-2025,0,1,76,6.85856503479136,0,3,5
F11,1,S,10,1,0,0,184,25-Apr-2025,0,1,77,5.21493575760899,0,3,5
F11,1,S,10,1,0,0,459,25-Apr-2025,0,1,78,6.12905021006055,0,3,5
F11,1,S,10,0,1,0,43,25-Apr-2025,0,1,79,3.76120011569356,0,3,5
F11,1,S,10,0,0,1,351,25-Apr-2025,0,0,80,5.86078622346587,0,3,5
F11,1,S,10,1,0,0,168,25-Apr-2025,0,1,81,5.12396397940326,0,3,5
